text,year,month,day,tokenized,anger,positivity,joy,disgust,surprise,trust,anticipation,sadness,negative,fear
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,7,8,πηγές υπ ναυτιλίας ανυπόστατα τα περί επιβίβασης κρουσμάτων covid σε πλοίο από την ίο kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,1,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,7,7,γλυφάδα αύξηση των θετικών τεστ covid κατά 849 kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,7,6,κορωνοϊός ισραήλ και νότια κορέα συμφώνησαν για ανταλλαγή εμβολίων covid kathimerini καθημερινη κορωνοιος ,0,1,0,0,0,1,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,7,5,σε αυτοαπομόνωση η κέιτ μίντλετον μετά από επαφή με κρούσμα covid kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,7,5,μπάιντεν ο κορωνοϊός δεν έχει ακόμη νικηθεί kathimerini καθημερινη κορωνοιος ,0,0,0,1,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,7,5,νέα δεδομένα ισχύουν από σήμερα σε όλη τη χώρα στο πλαίσιο μέτρων προστασίας από την covid kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,7,4,θοδωρής γεωργακόπουλος πώς μιλάμε για την covid kathimerini καθημερινη ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,29,τόκιο 2020 ο κορωνοϊός κρύβει την ολυμπιακή φλόγα καθημερινη kathimerini tokyo2020 ,1,0,0,0,0,0,0,0,1,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,28,βρετανία κορωνοϊός ο νέος υπ υγείας θέλει να αρθούν το συντομότερο οι περιορισμοί kathimerini καθημερινη κορωνοιος ,0,1,1,0,1,0,1,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,25,βρετανία μόνο 28 κρούσματα covid στους 58000 συμμετέχοντες σε πιλοτικές εκδηλώσεις kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,25,που προς έγκριση δύο ακόμη εμβολίων covid εντός του καλοκαιριού kathimerini καθημερινη κορωνοιος ,0,1,0,0,0,1,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,23,τουρισμός η ryanair βλέπει ταχεία αύξηση στα ταξίδια παρά τους περιορισμούς covid kathimerini καθημερινη κορωνοιος ,0,1,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,22,ηπα οι λόγοι που οι νεότεροι ενήλικες είναι λιγότερο πιθανό να εμβολιαστούν κατά της covid kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,22,η αύξηση του αριθμού των ασθενών με covid που καταγράφηκε αποδίδεται στην παραλλαγή δέλτα kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,22,σουηδία τα εμβόλια covid θα είναι διαθέσιμα για όλους από 16 ετών και άνω kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,16,ιταλικά μμε προς παράταση της κατάστασης έκτακτης ανάγκης λόγω covid στην ιταλία kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,15,ο περσεβάλ γκετ ένας 12χρονος γάλλος είναι ένας από τους νεαρότερους πολίτες στην ευρώπη που εμβολιάζεται κατά της covid kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,11,μια λέαινα πέθανε από covid και δύο λιοντάρια βρίσκονταν σε κρίσιμη κατάσταση σε ζωολογικό κήπο της νότιας ινδίας kathimerini καθημερινη ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,11,g7 εμβόλια covid και κλίμα στο επίκεντρο των συζητήσεων kathimerini καθημερινη κορωνοιος ,0,1,0,0,0,1,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,9,γερμανική έρευνα οι ηλικιωμένοι ανταποκρίνονται λιγότερο στα εμβόλια covid kathimerini καθημερινη κορωνοιος ,0,1,0,0,0,0,1,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,7, το ευρωπαϊκό πιστοποιητικό covid θα χρησιμοποιείται σε όλη την ευρώπη από την 1η ιουλίου ,0,1,0,0,0,1,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,6,χαλκιδική πρόστιμο 3300 ευρώ σε ιδιοκτήτη καφέμπαρ για μη τήρηση των μέτρων covid kathimerini καθημερινη ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,5,ηπα αεροπορικές πιέζουν για άρση των περιορισμών covid στις μετακινήσεις kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,2,αγρίνιο αυξημένο ποσοστό θνητότητας στη μεθ covid έρευνα για τις όποιες παραλείψεις ,0,1,0,0,0,0,1,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,2,γ γεωργαντάς 81200 ευρωπαϊκά πιστοποιητικά covid μέσα σε λίγες ώρες καθημερινη kathimerini ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,1,cnn η μύκονος είναι έτοιμη για πάρτι όπως στην προ covid εποχή καθημερινη kathimerini ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,1,ισραήλ κορωνοϊός άρση σχεδόν όλων των μέτρων παραμένει κλειστό στους ταξιδιώτες kathimerini καθημερινη κορωνοιος ,0,0,0,0,0,0,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,1,γουχάν το ινστιτούτο βιολογικών προϊόντων ενισχύει την ετήσια παραγωγή εμβολίου covid kathimerini καθημερινη κορωνοιος ,0,1,0,0,0,1,1,0,1,1
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,6,1,η ελλάδα εντάσσεται στο πρώτο κύμα των χωρών που ενεργοποιούν το ευρωπαϊκό πιστοποιητικό covid kathimerini καθημερινη κορωνοιος ,0,1,0,0,0,1,0,0,0,0
"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",2021,5,30,ενδείξεις για προστατευτική δράση της μεσογειακής διατροφής έναντι της covid 19 αναδεικνύει νέα μελέτη με τη συμμετοχή και του πανεπιστημίου χάρβαρντ ,0,3,0,0,0,0,0,0,0,0
